score,min_samples,eps
0.39178863373633593,14,0.7999999999999999
0.3791127230816922,14,0.8499999999999999
0.37859849308625526,13,0.8499999999999999
0.3783653675903276,11,0.75
0.3775565606537506,10,0.7999999999999999
0.3745872649231926,11,0.7999999999999999
0.3731221346325655,12,0.75
0.3707995332873372,13,0.7999999999999999
0.36856248635270406,13,0.75
0.3633405192465938,10,0.75
0.33604188168162996,14,0.7
0.31720964559604303,9,0.8499999999999999
0.31632960883369626,10,0.8499999999999999
0.3025503550712513,8,0.8499999999999999
0.29701055183429725,14,0.75
0.29577367564029705,12,0.7999999999999999
0.29161208093569324,11,0.7
0.2576247789729978,8,0.7
0.25663424386484657,7,0.7999999999999999
0.2503958078322453,12,0.8499999999999999
0.2503085039824326,8,0.75
0.2497779993700673,11,0.8499999999999999
0.2438733806900432,9,0.7999999999999999
0.23946471052215468,8,0.7999999999999999
0.17378649203497598,10,0.7
0.17373154448566644,14,0.6
0.16373959942636304,9,0.7
0.16216538632283192,7,0.75
0.15549833827407505,13,0.6499999999999999
0.15515954437604387,9,0.75
0.1530368537541395,12,0.7
0.15257262435761967,13,0.7
0.14951782495181332,5,0.8499999999999999
0.11004352490116383,10,0.6499999999999999
0.09679275231076614,6,0.8499999999999999
0.09186015067008187,14,0.6499999999999999
0.08443798215625853,9,0.6499999999999999
0.08088917177094951,7,0.8499999999999999
0.07165288760160737,6,0.75
0.0707855847187351,7,0.7
0.06072310997861726,8,0.6499999999999999
0.05639646406966428,6,0.7999999999999999
0.05623399478613697,5,0.7999999999999999
0.04755185666121346,13,0.6
0.04331912741594705,5,0.75
0.02443945284294103,13,0.55
0.014529136812081442,12,0.6499999999999999
0.012961704156253988,6,0.7
0.007835444621672542,7,0.6499999999999999
-0.011700719816618401,5,0.7
-0.013346267063537316,12,0.55
-0.034301365493512835,14,0.55
-0.05297686598297647,6,0.6499999999999999
-0.06051730998237119,10,0.6
-0.061898665592712204,12,0.6
-0.06408846589697538,11,0.6499999999999999
-0.09241630297122493,8,0.6
-0.09461032894799731,9,0.6
-0.10993681550687745,7,0.6
-0.12363347318210437,11,0.6
-0.12628929819602822,5,0.6499999999999999
-0.1275270890624542,6,0.6
-0.13693065498681198,14,0.5
-0.14514711589770662,8,0.55
-0.15157588311858503,9,0.55
-0.17241124529854138,5,0.6
-0.17615896140457044,11,0.55
-0.19092964126684417,11,0.5
-0.20150924738841455,10,0.55
-0.20907488160456386,6,0.55
-0.20942213854349817,12,0.5
-0.21437926854909334,13,0.5
-0.2189400009164769,5,0.55
-0.2494082581671816,7,0.55
-0.25840230657363433,8,0.5
-0.28572309167928084,10,0.5
-0.2869962341657798,9,0.5
-0.2876913296587761,12,0.45
-0.29485666578214026,14,0.45
-0.30360519876688713,7,0.5
-0.30520096240576455,13,0.45
-0.3090988668877988,6,0.5
-0.34468975736909063,5,0.5
-0.3528750124202644,9,0.45
-0.3573919360741483,11,0.45
-0.383485392918929,14,0.4
-0.39047855957514555,8,0.45
-0.39124909689841286,10,0.45
-0.4327558468148344,13,0.4
-0.4349164763703242,6,0.45
-0.43725699174316357,5,0.45
-0.43945676986565,7,0.45
-0.445844302197374,12,0.4
-0.45443171512239966,9,0.4
-0.45597855797752906,10,0.4
-0.46908551526356873,11,0.4
-0.48370062395930985,7,0.4
-0.4876917817845309,8,0.4
-0.4882178926382397,6,0.4
-0.4893047966972477,5,0.4
